log_id,user_id,event_type,target_id,timestamp,content
log_00000000,user_000000,join,circle_00016,2024-02-17 06:35:07,
log_00000001,user_000000,share,circle_00025,2025-03-11 20:15:10,
log_00000002,user_000000,view,circle_00035,2023-10-20 08:44:30,
log_00000003,user_000000,share,circle_00091,2024-09-08 06:05:41,
log_00000004,user_000000,post,circle_00091,2024-10-29 23:35:49,
log_00000005,user_000000,join,circle_00091,2024-11-07 02:18:02,
log_00000006,user_000000,join,circle_00056,2023-10-24 21:22:38,
log_00000007,user_000000,share,circle_00035,2025-07-01 13:51:57,
log_00000008,user_000000,view,circle_00047,2024-10-11 03:11:27,
log_00000009,user_000000,join,circle_00047,2025-06-09 12:51:32,
log_00000010,user_000000,like,circle_00025,2024-12-29 20:36:38,
log_00000011,user_000000,post,circle_00047,2024-08-29 16:48:17,
log_00000012,user_000000,join,circle_00091,2023-11-24 06:01:49,
log_00000013,user_000000,join,circle_00023,2024-02-09 02:03:35,
log_00000014,user_000000,share,circle_00065,2024-05-16 09:39:25,
log_00000015,user_000000,post,circle_00064,2024-11-20 11:54:54,
log_00000016,user_000000,post,circle_00056,2025-04-23 17:35:15,
log_00000017,user_000000,like,circle_00016,2025-04-05 03:57:30,
log_00000018,user_000000,join,circle_00011,2024-07-25 22:22:36,
log_00000019,user_000000,join,circle_00064,2023-11-09 04:30:24,
log_00000020,user_000000,view,circle_00047,2023-09-26 02:39:49,
log_00000021,user_000000,like,circle_00025,2025-08-04 00:25:44,
log_00000022,user_000000,like,circle_00035,2024-08-22 15:12:02,
log_00000023,user_000000,view,circle_00065,2023-12-29 16:28:16,
log_00000024,user_000000,post,circle_00047,2024-06-12 02:53:40,
log_00000025,user_000000,like,circle_00065,2023-10-30 11:22:24,
log_00000026,user_000000,post,circle_00047,2024-01-01 21:02:58,
log_00000027,user_000000,post,circle_00011,2023-11-08 05:17:58,
log_00000028,user_000000,join,circle_00011,2024-09-15 17:01:13,
log_00000029,user_000000,like,circle_00065,2025-06-26 09:43:40,
log_00000030,user_000000,post,circle_00064,2024-03-17 20:59:23,
log_00000031,user_000000,join,circle_00065,2025-07-20 13:30:39,
log_00000032,user_000000,post,circle_00091,2024-11-21 04:58:08,
log_00000033,user_000000,join,circle_00023,2024-04-09 22:42:36,
log_00000034,user_000000,view,circle_00047,2024-05-12 06:21:03,
log_00000035,user_000000,share,circle_00056,2024-06-06 21:48:07,
log_00000036,user_000000,like,circle_00016,2024-10-25 06:38:11,
log_00000037,user_000000,like,circle_00025,2024-01-24 08:31:08,
log_00000038,user_000000,like,circle_00056,2024-11-02 17:53:44,
log_00000039,user_000000,view,circle_00056,2023-12-28 15:34:13,
log_00000040,user_000001,view,circle_00083,2025-07-20 03:37:43,
log_00000041,user_000001,view,circle_00018,2025-06-25 11:25:30,
log_00000042,user_000001,like,circle_00055,2025-08-24 23:52:09,
log_00000043,user_000001,like,circle_00027,2025-08-08 02:04:11,
